ranking,country,regional_indicator,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
26,Argentina,Latin America and Caribbean,6.65,9.92469,0.90101,72.0,0.6949,0.13406,0.14442,2016
45,Slovakia,Western Europe,6.078,9.81447,0.91499,72.0,0.38441,0.16881,0.05834,2016
74,Croatia,Central and Eastern Europe,5.488,9.69673,0.51391,73.0,0.3929,0.22489,0.07922,2016
87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,9.77892,0.54398,73.0,0.15631,0.36463,0.0,2016
25,Panama,Latin America and Caribbean,6.701,9.96471,0.83593,73.0,0.80409,0.29498,0.16672,2016
21,Mexico,Latin America and Caribbean,6.778,9.97271,0.60393,73.0,0.61972,0.14317,0.36331,2016
36,Qatar,Middle East and North Africa,6.375,10.0,0.7434,73.0,0.93147,0.39511,0.95108,2016
29,Uruguay,Latin America and Caribbean,6.545,9.98467,0.87168,73.0,0.89382,0.22027,0.42346,2016
28,United Arab Emirates,Middle East and North Africa,6.573,9.96966,0.73622,74.0,0.92385,0.32439,0.70389,2016
109,Albania,Central and Eastern Europe,4.655,9.77705,0.42394,74.0,0.5237,0.20543,0.10493,2016
83,China,East Asia,5.245,9.99912,0.67087,74.0,0.72331,0.06049,0.05434,2016
14,Costa Rica,Latin America and Caribbean,7.087,9.9324,0.86331,75.0,0.90759,0.27513,0.20876,2016
93,Lebanon,Middle East and North Africa,5.129,9.98855,0.54243,75.0,0.43104,0.28904,0.06058,2016
27,Czech Republic,Western Europe,6.596,9.97896,0.85183,75.0,0.68067,0.12112,0.07889,2016
15,Puerto Rico,Latin America and Caribbean,7.039,9.99959,0.91369,75.0,0.76951,0.27085,0.24297,2016
13,United States,North America and ANZ,7.104,9.97785,0.88553,75.0,0.79153,0.50111,0.2943,2016
63,Slovenia,Western Europe,5.768,9.92202,0.89256,76.0,0.87371,0.31399,0.07195,2016
94,Portugal,Western Europe,5.123,9.966,0.79752,76.0,0.73505,0.14262,0.0301,2016
1,Denmark,Western Europe,7.526,9.97766,0.98351,76.0,0.95223,0.44126,0.8799,2016
35,Taiwan,East Asia,6.379,9.95173,0.78279,76.0,0.5321,0.31103,0.13124,2016
4,Norway,Western Europe,7.498,9.70015,0.95237,76.0,0.97963,0.46229,0.70814,2016
99,Greece,Western Europe,5.033,9.97503,0.63784,76.0,0.09568,0.0,0.08169,2016
30,Malta,Western Europe,6.488,9.98752,0.92861,76.0,0.90379,0.68605,0.34747,2016
12,Austria,Western Europe,7.119,9.98799,0.91597,77.0,0.89329,0.40093,0.42257,2016
23,United Kingdom,Western Europe,6.725,9.97265,0.91841,77.0,0.82231,0.61188,0.54233,2016
5,Finland,Western Europe,7.413,9.83367,0.95891,77.0,0.93846,0.31099,0.81162,2016
7,Netherlands,Western Europe,7.339,9.84579,0.86974,77.0,0.90736,0.57844,0.59237,2016
19,Ireland,Western Europe,6.907,9.94988,0.98167,77.0,0.88759,0.54852,0.58894,2016
16,Germany,Western Europe,6.994,9.97881,0.92772,77.0,0.87868,0.3715,0.56513,2016
24,Chile,Latin America and Caribbean,6.705,9.98816,0.76557,77.0,0.62104,0.38544,0.22665,2016
18,Belgium,Western Europe,6.929,9.98917,0.88948,77.0,0.84396,0.29571,0.51954,2016
6,Canada,North America and ANZ,7.404,9.99918,0.92634,77.0,0.94284,0.54695,0.62012,2016
8,New Zealand,North America and ANZ,7.334,9.82821,0.99115,78.0,0.95561,0.60266,0.82945,2016
10,Sweden,Western Europe,7.291,9.89265,0.91919,78.0,0.95678,0.46667,0.80891,2016
32,France,Western Europe,6.478,9.979,0.84942,78.0,0.76521,0.14835,0.35249,2016
62,North Cyprus,Western Europe,5.771,9.93374,0.69153,78.0,0.71647,0.32111,0.32815,2016
20,Luxembourg,Western Europe,6.871,9.15144,0.87892,78.0,0.90176,0.33635,0.6993,2016
69,Cyprus,Western Europe,5.546,9.93412,0.59748,78.0,0.48492,0.34044,0.10348,2016
11,Israel,Middle East and North Africa,7.267,9.95569,0.84121,78.0,0.59874,0.39389,0.17276,2016
50,Italy,Western Europe,5.977,9.95971,0.88034,78.0,0.3094,0.20353,0.05059,2016
9,Australia,North America and ANZ,7.313,9.97098,0.93365,78.0,0.93407,0.57834,0.63995,2016
2,Switzerland,Western Europe,7.509,9.64149,0.96787,79.0,0.96235,0.34259,0.81557,2016
3,Iceland,Western Europe,7.501,9.88557,1.0,79.0,0.93058,0.58165,0.29641,2016
37,Spain,Western Europe,6.361,9.88808,0.95452,79.0,0.61702,0.2155,0.12148,2016
58,South Korea,East Asia,5.835,9.98936,0.61012,80.0,0.41362,0.22964,0.15272,2016
53,Japan,East Asia,5.921,9.87032,0.89629,81.0,0.76848,0.12473,0.37579,2016
22,Singapore,East Asia,6.739,9.62602,0.73321,82.0,0.8015,0.399,0.93005,2016
75,Hong Kong,East Asia,5.458,9.86699,0.73543,82.0,0.79014,0.48916,0.62641,2016
3,Iceland,Western Europe,7.504,7.91458,1.0,71.0,0.95277,0.56742,0.33066,2017
15,Ireland,Western Europe,6.977,8.20897,0.9675,71.0,0.87066,0.51053,0.64265,2017
2,Denmark,Western Europe,7.522,7.92394,0.96309,70.0,0.95102,0.42392,0.86316,2017
47,Uzbekistan,Commonwealth of Independent States,5.971,4.20385,0.96175,62.0,1.0,0.49636,0.53096,2017
8,New Zealand,North America and ANZ,7.314,7.51407,0.96127,71.0,0.93287,0.59661,0.82449,2017
5,Finland,Western Europe,7.469,7.71648,0.95633,71.0,0.93878,0.29291,0.82405,2017
1,Norway,Western Europe,7.537,8.64065,0.95216,70.0,0.96532,0.43196,0.68051,2017
34,Spain,Western Europe,6.403,7.40017,0.95127,73.0,0.62101,0.22687,0.15273,2017
4,Switzerland,Western Europe,7.494,8.36545,0.94185,72.0,0.942,0.34669,0.79044,2017
9,Australia,North America and ANZ,7.284,7.9348,0.93758,72.0,0.91395,0.57,0.64867,2017
70,Paraguay,Latin America and Caribbean,5.493,4.98479,0.93587,64.0,0.71934,0.26746,0.19613,2017
40,Slovakia,Central and Eastern Europe,6.098,7.08477,0.93449,68.0,0.4494,0.16293,0.05214,2017
19,United Kingdom,Western Europe,6.714,7.70612,0.92915,71.0,0.77203,0.58798,0.57166,2017
59,Turkmenistan,Commonwealth of Independent States,5.822,6.04446,0.92709,60.0,0.63543,0.29821,0.5584,2017
100,Mongolia,East Asia,4.955,5.49099,0.92701,63.0,0.59878,0.40386,0.07086,2017
27,Malta,Western Europe,6.527,7.18037,0.92415,71.0,0.89444,0.68577,0.32967,2017
7,Canada,North America and ANZ,7.316,7.90695,0.91976,71.0,0.92837,0.51969,0.61892,2017
10,Sweden,Western Europe,7.284,7.9881,0.91779,71.0,0.93114,0.45986,0.8279,2017
66,Estonia,Western Europe,5.611,7.06063,0.91686,67.0,0.72789,0.118,0.39467,2017
52,Lithuania,Western Europe,5.902,7.02697,0.9149,65.0,0.35584,0.01213,0.02556,2017
16,Germany,Western Europe,6.951,7.95355,0.91428,70.0,0.85456,0.40124,0.59601,2017
49,Russia,Commonwealth of Independent States,5.963,6.85162,0.91227,63.0,0.56784,0.06236,0.07099,2017
17,Belgium,Western Europe,6.891,7.8245,0.90795,71.0,0.82001,0.27623,0.54133,2017
13,Austria,Western Europe,7.006,7.94914,0.90647,71.0,0.86254,0.37762,0.47611,2017
18,Luxembourg,Western Europe,6.863,9.31139,0.90501,72.0,0.90639,0.33789,0.68669,2017
62,Slovenia,Central and Eastern Europe,5.758,7.16929,0.90186,70.0,0.86985,0.28953,0.0972,2017
46,Poland,Central and Eastern Europe,5.973,6.90513,0.89764,68.0,0.79049,0.18908,0.12773,2017
67,Belarus,Commonwealth of Independent States,5.569,6.18227,0.89716,66.0,0.44877,0.18511,0.33666,2017
48,Italy,Western Europe,5.964,7.4572,0.89715,72.0,0.3896,0.20617,0.06037,2017
24,Argentina,Latin America and Caribbean,6.599,6.33588,0.89437,67.0,0.75127,0.13061,0.12866,2017
51,Japan,East Asia,5.92,7.57399,0.89182,74.0,0.76814,0.14387,0.3527,2017
105,Bulgaria,Central and Eastern Europe,4.714,6.20847,0.8906,68.0,0.4394,0.13504,0.0238,2017
23,Czech Republic,Central and Eastern Europe,6.609,7.23063,0.89029,69.0,0.74584,0.10513,0.07941,2017
82,Venezuela,Latin America and Caribbean,5.25,6.03192,0.88871,65.0,0.23395,0.07758,0.1389,2017
22,Brazil,Latin America and Caribbean,6.635,5.91925,0.88869,65.0,0.66457,0.19372,0.23927,2017
6,Netherlands,Western Europe,7.377,8.03919,0.88722,71.0,0.88931,0.56139,0.60878,2017
32,Thailand,Southeast Asia,6.424,6.02892,0.88527,66.0,0.88143,0.68266,0.06809,2017
14,United States,North America and ANZ,6.993,8.26538,0.88162,70.0,0.76831,0.46843,0.29213,2017
12,Costa Rica,Latin America and Caribbean,7.079,5.93183,0.87944,69.0,0.88133,0.25608,0.2156,2017
28,Uruguay,Latin America and Caribbean,6.454,6.50835,0.87685,68.0,0.8802,0.20893,0.3835,2017
54,Latvia,Western Europe,5.85,6.73921,0.87218,66.0,0.49481,0.18265,0.15904,2017
86,Dominican Republic,Latin America and Caribbean,5.23,5.76969,0.87076,64.0,0.83948,0.22309,0.24541,2017
36,Colombia,Latin America and Caribbean,6.357,5.72291,0.87061,64.0,0.72539,0.17781,0.10051,2017
132,Ukraine,Commonwealth of Independent States,4.096,4.78228,0.86586,64.0,0.18682,0.32224,0.0496,2017
98,Kyrgyzstan,Commonwealth of Independent States,5.004,3.18704,0.86568,63.0,0.69114,0.51139,0.08494,2017
31,France,Western Europe,6.442,7.64887,0.86167,72.0,0.71435,0.15483,0.37153,2017
101,South Africa,Sub-Saharan Africa,4.829,5.63779,0.85981,53.0,0.72806,0.16629,0.15617,2017
33,Taiwan Province of China,East Asia,6.422,7.66331,0.85967,70.0,0.54913,0.30828,0.13747,2017
60,Kazakhstan,Commonwealth of Independent States,5.819,6.86647,0.85955,65.0,0.66457,0.24099,0.2569,2017
38,Trinidad and Tobago,Latin America and Caribbean,6.168,7.277,0.85698,62.0,0.78789,0.38815,0.01931,2017
11,Israel,Middle East and North Africa,7.213,7.35198,0.85453,72.0,0.61677,0.39386,0.18359,2017
30,Panama,Latin America and Caribbean,6.452,6.59488,0.85261,68.0,0.83559,0.25124,0.15288,2017
76,Jamaica,Latin America and Caribbean,5.311,4.9476,0.84952,66.0,0.72056,0.27899,0.11903,2017
89,Portugal,Western Europe,5.195,7.03014,0.84879,70.0,0.75726,0.11348,0.03418,2017
68,Libya,Middle East and North Africa,5.525,5.88958,0.84291,62.0,0.70753,0.18146,0.19946,2017
26,Singapore,Southeast Asia,6.572,9.04591,0.84058,75.0,0.83531,0.41281,1.0,2017
75,Hungary,Central and Eastern Europe,5.324,6.87425,0.83395,67.0,0.26717,0.09355,0.07891,2017
97,Bhutan,South Asia,5.011,4.73291,0.83208,62.0,0.76193,0.56565,0.37342,2017
69,Turkey,Middle East and North Africa,5.5,6.40526,0.83061,66.0,0.45688,0.05571,0.21467,2017
41,Bahrain,Middle East and North Africa,6.087,7.95617,0.82151,66.0,0.81542,0.20603,0.5536,2017
43,Nicaragua,Latin America and Caribbean,6.071,3.94116,0.79923,66.0,0.67991,0.35996,0.28147,2017
37,Saudi Arabia,Middle East and North Africa,6.344,8.1818,0.79889,64.0,0.68325,0.17614,0.5889,2017
44,Ecuador,Latin America and Caribbean,6.008,5.34979,0.79858,67.0,0.69153,0.17912,0.30181,2017
42,Malaysia,Southeast Asia,6.084,6.90207,0.79763,65.0,0.61111,0.4971,0.14129,2017
20,Chile,Latin America and Caribbean,6.652,6.69664,0.79725,71.0,0.57257,0.38978,0.17723,2017
127,Mali,Sub-Saharan Africa,4.19,2.54538,0.79566,52.0,0.4658,0.21878,0.22608,2017
94,Vietnam,Southeast Asia,5.074,4.21511,0.79319,66.0,0.86754,0.28037,0.18874,2017
81,Indonesia,Southeast Asia,5.262,5.32156,0.7913,62.0,0.67349,0.72989,0.03299,2017
35,Qatar,Middle East and North Africa,6.375,10.0,0.79121,68.0,0.91779,0.39432,0.94614,2017
123,Mauritania,Middle East and North Africa,4.292,3.46627,0.7898,56.0,0.14599,0.24087,0.29497,2017
96,Tajikistan,Commonwealth of Independent States,5.041,2.80481,0.78945,63.0,0.7164,0.29711,0.31526,2017
21,United Arab Emirates,Middle East and North Africa,6.648,8.69346,0.78631,68.0,0.92419,0.43068,0.69887,2017
71,Hong Kong S.A.R. of China,East Asia,5.472,8.29433,0.78406,75.0,0.74587,0.44682,0.63306,2017
120,Sri Lanka,South Asia,4.44,5.39806,0.78232,65.0,0.85259,0.5857,0.15863,2017
39,Kuwait,Middle East and North Africa,6.105,8.72879,0.78214,66.0,0.75403,0.2724,0.4634,2017
73,Serbia,Central and Eastern Europe,5.395,5.71594,0.78121,66.0,0.31708,0.26266,0.0881,2017
29,Guatemala,Latin America and Caribbean,6.454,4.6612,0.77959,63.0,0.80716,0.33826,0.16632,2017
72,Philippines,Southeast Asia,5.43,4.58475,0.77855,61.0,0.88905,0.2309,0.21394,2017
56,Moldova,Central and Eastern Europe,5.838,3.89611,0.77725,64.0,0.36571,0.24912,0.02173,2017
87,Greece,,5.227,6.89283,0.76955,71.0,0.14543,0.0,0.09324,2017
74,Jordan,Middle East and North Africa,5.336,5.29736,0.76935,65.0,0.63566,0.20544,0.25803,2017
83,Montenegro,Central and Eastern Europe,5.237,5.99289,0.7689,67.0,0.29622,0.23615,0.1899,2017
126,Congo (Kinshasa),Sub-Saharan Africa,4.28,0.49232,0.7631,53.0,0.35847,0.29407,0.12974,2017
58,Bolivia,Latin America and Caribbean,5.823,4.45677,0.76222,61.0,0.84882,0.26914,0.13025,2017
142,Botswana,Sub-Saharan Africa,3.766,5.99805,0.75846,57.0,0.76749,0.11854,0.21232,2017
63,Peru,Latin America and Caribbean,5.715,5.5337,0.75673,66.0,0.68364,0.15132,0.10133,2017
95,Nigeria,Sub-Saharan Africa,5.074,4.18949,0.75487,49.0,0.60001,0.27557,0.05626,2017
130,Sudan,Western Europe,4.139,3.52538,0.75377,56.0,0.02278,0.21754,0.19351,2017
25,Mexico,Latin America and Caribbean,6.578,6.16423,0.75182,68.0,0.62701,0.14437,0.28596,2017
64,Mauritius,Sub-Saharan Africa,5.629,6.3578,0.75101,66.0,0.74629,0.43067,0.09085,2017
92,Macedonia,Central and Eastern Europe,5.175,5.6906,0.74998,66.0,0.49511,0.30279,0.12982,2017
139,Lesotho,Sub-Saharan Africa,3.808,2.78507,0.73893,47.0,0.59349,0.18793,0.2565,2017
61,North Cyprus,Middle East and North Africa,5.81,7.19979,0.73657,71.0,0.71584,0.3184,0.33459,2017
45,El Salvador,Latin America and Caribbean,6.003,4.86317,0.73398,65.0,0.65697,0.09338,0.1938,2017
115,Senegal,Sub-Saharan Africa,4.535,2.5621,0.73247,59.0,0.57413,0.21892,0.24867,2017
99,Nepal,South Asia,4.962,2.56483,0.73221,62.0,0.66891,0.47024,0.15717,2017
79,China,East Asia,5.273,5.77927,0.72076,69.0,0.71825,0.03437,0.04909,2017
103,Palestinian Territories,Middle East and North Africa,4.775,3.82864,0.71754,64.0,0.38695,0.13623,0.19229,2017
118,Gabon,Sub-Saharan Africa,4.465,6.40492,0.71752,58.0,0.47448,0.05225,0.16379,2017
85,Azerbaijan,Commonwealth of Independent States,5.234,6.16647,0.71552,63.0,0.60487,0.05402,0.3898,2017
57,Romania,Central and Eastern Europe,5.825,6.50901,0.71409,67.0,0.69427,0.15932,0.00945,2017
53,Argelia,Middle East and North Africa,5.872,5.83646,0.71168,65.0,0.35448,0.08285,0.31465,2017
91,Honduras,Latin America and Caribbean,5.181,3.90521,0.71027,64.0,0.5288,0.28182,0.15797,2017
78,Kosovo,Central and Eastern Europe,5.279,5.08607,0.70649,63.0,0.39542,0.38175,0.12378,2017
65,Cyprus,Western Europe,5.621,7.24804,0.70246,72.0,0.53948,0.32366,0.08882,2017
133,Uganda,Sub-Saharan Africa,4.081,2.0389,0.70151,54.0,0.67328,0.38871,0.12291,2017
88,Lebanon,Middle East and North Africa,5.225,5.74624,0.70138,69.0,0.43831,0.31555,0.0808,2017
55,South Korea,East Asia,5.838,7.49254,0.70054,73.0,0.39183,0.24661,0.13629,2017
114,Myanmar,Southeast Asia,4.545,1.96235,0.69741,59.0,0.78161,1.0,0.40666,2017
140,Angola,Sub-Saharan Africa,3.795,4.58865,0.68573,49.0,0.0,0.11685,0.15016,2017
111,Namibia,Sub-Saharan Africa,4.574,5.15529,0.68204,57.0,0.79044,0.09204,0.20061,2017
138,Zimbabwe,Sub-Saharan Africa,3.875,2.00905,0.67249,53.0,0.51103,0.22569,0.20541,2017
50,Belize,Latin America and Caribbean,5.956,4.8535,0.67145,60.0,0.83177,0.28639,0.20801,2017
90,Bosnia and Herzegovina,Central and Eastern Europe,5.182,5.25138,0.66395,68.0,0.31053,0.39241,0.0,2017
112,Kenya,Sub-Saharan Africa,4.553,2.99599,0.66309,56.0,0.68783,0.53081,0.13922,2017
134,Burkina Faso,Sub-Saharan Africa,4.032,1.87211,0.64777,54.0,0.49277,0.29933,0.25916,2017
153,Tanzania,Sub-Saharan Africa,3.349,2.73223,0.64697,58.0,0.59251,0.4227,0.14222,2017
121,Armenia,Commonwealth of Independent States,4.376,4.81405,0.62554,66.0,0.30126,0.09962,0.05745,2017
129,Cambodia,Southeast Asia,4.168,3.21668,0.62477,60.0,0.96221,0.46049,0.14668,2017
116,Zambia,Sub-Saharan Africa,4.514,3.40185,0.62288,55.0,0.70126,0.2978,0.16845,2017
104,Egypt,Middle East and North Africa,4.735,5.29036,0.61933,62.0,0.42858,0.15348,0.24635,2017
135,Niger,Sub-Saharan Africa,4.028,0.86556,0.61657,55.0,0.55246,0.27286,0.29845,2017
106,Sierra Leone,Sub-Saharan Africa,4.709,1.96936,0.61105,47.0,0.48416,0.34966,0.15312,2017
117,Iraq,Middle East and North Africa,4.497,5.89443,0.60762,62.0,0.43837,0.23821,0.23092,2017
77,Croatia,Central and Eastern Europe,5.293,6.53506,0.60102,68.0,0.38856,0.29592,0.09283,2017
137,Chad,Sub-Saharan Africa,3.936,2.34136,0.59225,48.0,0.24663,0.25787,0.1154,2017
107,Cameroon,Sub-Saharan Africa,4.695,3.01644,0.58738,51.0,0.65384,0.28195,0.1105,2017
151,Rwanda,Sub-Saharan Africa,3.471,1.9711,0.58719,57.0,0.88393,0.30159,0.98043,2017
146,Yemen,Middle East and North Africa,3.593,3.16279,0.58078,56.0,0.37898,0.12424,0.12226,2017
144,Madagascar,Sub-Saharan Africa,3.644,1.63467,0.56689,58.0,0.28742,0.24906,0.1448,2017
128,Ivory Coast,Sub-Saharan Africa,4.18,3.22354,0.56177,49.0,0.68015,0.24012,0.28012,2017
131,Ghana,Sub-Saharan Africa,4.12,3.56659,0.54246,56.0,0.64265,0.30656,0.05457,2017
148,Liberia,Sub-Saharan Africa,3.533,0.63633,0.5415,54.0,0.50571,0.31805,0.08388,2017
113,Mozambique,Sub-Saharan Africa,4.55,1.25246,0.54062,50.0,0.73041,0.38449,0.38646,2017
102,Tunisia,Middle East and North Africa,4.805,5.38424,0.53916,65.0,0.44008,0.05929,0.18678,2017
119,Ethiopia,Sub-Saharan Africa,4.46,1.81334,0.53687,58.0,0.62111,0.37306,0.35635,2017
124,Congo (Brazzaville),Sub-Saharan Africa,4.291,4.32424,0.51661,56.0,0.66088,0.1442,0.17148,2017
109,Albania,Central and Eastern Europe,4.644,5.32505,0.49901,68.0,0.57957,0.24021,0.08586,2017
149,Guinea,Sub-Saharan Africa,3.507,1.30722,0.49128,53.0,0.52957,0.31598,0.23893,2017
84,Morocco,Middle East and North Africa,5.235,4.69388,0.48111,65.0,0.62007,0.03843,0.18902,2017
122,India,South Asia,4.315,4.23474,0.46839,60.0,0.714,0.27627,0.19863,2017
110,Bangladesh,South Asia,4.608,3.13606,0.45644,63.0,0.72671,0.20554,0.26646,2017
93,Somalia,Sub-Saharan Africa,5.151,0.12104,0.44776,51.0,0.91474,0.34798,0.60824,2017
108,Iran,Middle East and North Africa,4.692,6.18396,0.4418,66.0,0.37877,0.46206,0.10502,2017
80,Pakistan,South Asia,5.269,3.88549,0.41767,59.0,0.35733,0.37639,0.26781,2017
145,Haiti,Latin America and Caribbean,3.603,1.97037,0.39765,55.0,0.04614,0.58372,0.2151,2017
154,Burundi,Sub-Saharan Africa,2.905,0.48976,0.39104,52.0,0.091,0.24393,0.18123,2017
147,South Sudan,Sub-Saharan Africa,3.591,2.12345,0.37336,52.0,0.22341,0.34087,0.25154,2017
141,Afghanistan,South Asia,3.794,2.14606,0.36108,53.0,0.16131,0.37213,0.13172,2017
125,Georgia,Commonwealth of Independent States,4.286,5.08141,0.35429,66.0,0.47005,0.06444,0.54203,2017
136,Malawi,Sub-Saharan Africa,3.97,1.24784,0.31825,56.0,0.70933,0.34265,0.1566,2017
143,Benin,Sub-Saharan Africa,3.657,2.30433,0.27028,53.0,0.64712,0.24813,0.13123,2017
150,Togo,Sub-Saharan Africa,3.495,1.63273,0.26815,54.0,0.57794,0.23494,0.20604,2017
152,Syria,Middle East and North Africa,3.462,4.1542,0.24594,62.0,0.12387,0.58904,0.32596,2017
155,Central African Republic,Sub-Saharan Africa,2.693,0.0,0.0,48.0,0.41146,0.33514,0.12183,2017
145,Afghanistan,South Asia,3.6315,2.01215,0.20121,59.0,0.11671,0.31964,0.07937,2018
112,Albania,Central and Eastern Europe,4.586,5.55338,0.55534,70.0,0.57789,0.2497,0.07098,2018
84,Argelia,Middle East and North Africa,5.2946,5.93587,0.59359,68.0,0.10667,0.09237,0.29437,2018
142,Angola,Sub-Saharan Africa,3.7948,4.42773,0.44277,59.0,0.0,0.13198,0.13409,2018
29,Argentina,Latin America and Caribbean,6.388,6.50476,0.65048,69.0,0.78637,0.10366,0.11709,2018
129,Armenia,Commonwealth of Independent States,4.3206,4.95064,0.49506,68.0,0.35902,0.12894,0.06049,2018
10,Australia,North America and ANZ,7.2721,8.12558,0.81256,73.0,0.8924,0.60412,0.66165,2018
12,Austria,Western Europe,7.1394,8.13407,0.81341,73.0,0.85198,0.40499,0.48979,2018
87,Azerbaijan,Commonwealth of Independent States,5.2006,6.20973,0.62097,66.0,0.59332,0.05172,0.38622,2018
43,Bahrain,Middle East and North Africa,6.1051,8.11235,0.81123,68.0,0.82043,0.40655,0.2693,2018
115,Bangladesh,South Asia,4.5004,3.22814,0.32281,66.0,0.80007,0.256,0.3147,2018
73,Belarus,Commonwealth of Independent States,5.4833,6.29925,0.62993,68.0,0.42414,0.16898,0.3378,2018
16,Belgium,Western Europe,6.9269,8.02595,0.8026,73.0,0.80429,0.31467,0.52606,2018
49,Belize,Latin America and Caribbean,5.9556,4.89207,0.48921,63.0,0.81818,0.3055,0.19389,2018
136,Benin,Sub-Saharan Africa,4.1414,2.29103,0.2291,58.0,0.60699,0.27317,0.14625,2018
97,Bhutan,South Asia,5.0821,4.82921,0.48292,65.0,0.74743,0.60915,0.37381,2018
62,Bolivia,Latin America and Caribbean,5.7519,4.55479,0.45548,64.0,0.8361,0.23621,0.11778,2018
93,Bosnia and Herzegovina,Central and Eastern Europe,5.1294,5.54813,0.55481,70.0,0.38691,0.36134,0.0,2018
146,Botswana,Sub-Saharan Africa,3.5898,6.16459,0.61646,62.0,0.76855,0.0709,0.20189,2018
28,Brazil,Latin America and Caribbean,6.4189,5.97856,0.59786,68.0,0.68113,0.18451,0.19214,2018
100,Bulgaria,Central and Eastern Europe,4.9331,6.3942,0.63942,69.0,0.49519,0.10746,0.02044,2018
121,Burkina Faso,Sub-Saharan Africa,4.4244,1.9021,0.19021,59.0,0.43015,0.29362,0.27995,2018
156,Burundi,Sub-Saharan Africa,2.9045,0.55066,0.05507,56.0,0.08951,0.24918,0.16621,2018
120,Cambodia,Southeast Asia,4.4326,3.32717,0.33272,63.0,0.96122,0.42895,0.14208,2018
99,Cameroon,Sub-Saharan Africa,4.9753,3.24223,0.32422,57.0,0.62613,0.3059,0.09497,2018
7,Canada,North America and ANZ,7.3285,8.06773,0.80677,73.0,0.90143,0.53657,0.6366,2018
155,Central African Republic,Sub-Saharan Africa,3.083,0.14496,0.0145,53.0,0.42138,0.36541,0.08391,2018
131,Chad,Sub-Saharan Africa,4.3006,2.16991,0.21699,54.0,0.26075,0.30259,0.13119,2018
25,Chile,Latin America and Caribbean,6.4762,6.86033,0.68603,71.0,0.59523,0.32976,0.13264,2018
86,China,East Asia,5.2458,5.9993,0.59993,71.0,0.82375,0.04795,0.22613,2018
37,Colombia,Latin America and Caribbean,6.2601,5.82411,0.58241,67.0,0.73353,0.16499,0.08628,2018
114,Congo (Brazzaville),Sub-Saharan Africa,4.5587,4.13327,0.41333,60.0,0.70919,0.15311,0.16916,2018
132,Congo (Kinshasa),Sub-Saharan Africa,4.2449,0.41979,0.04198,57.0,0.43113,0.33005,0.11434,2018
13,Costa Rica,Latin America and Caribbean,7.0717,6.12525,0.61252,71.0,0.87169,0.2398,0.22018,2018
82,Croatia,Central and Eastern Europe,5.3212,6.76097,0.6761,69.0,0.52503,0.20085,0.08523,2018
61,Cyprus,Middle East and North Africa,5.7625,7.45164,0.74516,73.0,0.58353,0.33886,0.07654,2018
21,Czech Republic,Central and Eastern Europe,6.7109,7.47985,0.74799,72.0,0.74901,0.10704,0.07361,2018
3,Denmark,Western Europe,7.5553,8.1935,0.81935,72.0,0.9431,0.47592,0.89266,2018
83,Dominican Republic,Latin America and Caribbean,5.3018,5.953,0.5953,66.0,0.7982,0.20073,0.23139,2018
48,Ecuador,Latin America and Caribbean,5.9732,5.39197,0.5392,69.0,0.76765,0.19064,0.26294,2018
122,Egypt,Middle East and North Africa,4.4192,5.36904,0.5369,65.0,0.43076,0.15466,0.23331,2018
40,El Salvador,Latin America and Caribbean,6.1668,4.8866,0.48866,67.0,0.63587,0.10888,0.18018,2018
63,Estonia,Western Europe,5.7392,7.27703,0.7277,69.0,0.76302,0.14346,0.38048,2018
127,Ethiopia,Sub-Saharan Africa,4.3502,1.86731,0.18673,62.0,0.62376,0.36749,0.31958,2018
1,Finland,Western Europe,7.6321,7.91421,0.79142,72.0,0.93948,0.3207,0.85993,2018
23,France,Western Europe,6.4893,7.83956,0.78396,73.0,0.71818,0.16373,0.38447,2018
103,Gabon,Sub-Saharan Africa,4.7583,6.28407,0.62841,62.0,0.49178,0.05361,0.11282,2018
128,Georgia,Commonwealth of Independent States,4.3405,5.17439,0.51744,67.0,0.51823,0.06442,0.46992,2018
15,Germany,Western Europe,6.9647,8.12357,0.81236,72.0,0.80907,0.45768,0.61239,2018
108,Ghana,Sub-Saharan Africa,4.657,3.58823,0.35882,60.0,0.68812,0.35439,0.06293,2018
79,Greece,Western Europe,5.3579,6.99674,0.69967,72.0,0.18072,0.0,0.0973,2018
30,Guatemala,Latin America and Caribbean,6.3819,4.73802,0.4738,66.0,0.83412,0.29922,0.15453,2018
140,Guinea,Sub-Saharan Africa,3.9641,2.08427,0.20843,58.0,0.54428,0.3104,0.20532,2018
148,Haiti,Latin America and Caribbean,3.582,1.90865,0.19087,59.0,0.03429,0.65657,0.22664,2018
72,Honduras,Latin America and Caribbean,5.504,3.75752,0.37575,67.0,0.63304,0.32935,0.16102,2018
76,Hong Kong,East Asia,5.4304,8.52041,0.85204,76.0,0.72358,0.41245,0.63775,2018
69,Hungary,Central and Eastern Europe,5.62,7.10126,0.71013,69.0,0.35751,0.1016,0.04871,2018
4,Iceland,Western Europe,7.4952,8.14589,0.81459,73.0,0.93378,0.59112,0.30203,2018
133,India,South Asia,4.1898,4.37378,0.43738,64.0,0.74442,0.28815,0.20391,2018
96,Indonesia,Southeast Asia,5.0926,5.45189,0.54519,64.0,0.74282,0.80999,0.03858,2018
